                           TOPIK I Vocabulary（Beginner）


No.          한글               English         No.          한글                English
494   마음          mind, feeling                      534   메모          memo
495   마지막         last                               535   메시지         message
496   마치다         finish, end                        536   멕시코         Mexico
497   마흔          40                                 537   며칠          a few days, what date
498   막히다         be blocked, be clogged             538   면도          razor, shaving
499   만           only, ten thousand                 539   명           ~ person(s)
500   만나다         meet                               540   명절          holidays, annual events
501   만두          dumpling                           541   몇           a few, a number of
502   만들다         make, create                       542   모두          all, everyone
503   만일          if, should                         543   모레          the day after tomorrow
504   만지다         touch                              544   모르겠습니다      I don't know.
505   만화          comic book, cartoon                545   모르다         do not know
506   많다          many                               546   모시다         take you, serve you (honorific form)

507   많이          a lot of, many                     547   모양          shape, form, style
508   말           word, talk                         548   모으다         collect, gather
509   말씀          words, remarks                     549   모이다         gather, get together
510   말씀하다        talk                               550   모임          meeting, gathering
511   말하기         speaking                           551   모자          hat
512   말하다         say, talk                          552   목           neck, throat
513   맑다          clear, clean                       553   목걸이         necklace
514   맛           flavor, taste                      554   목소리         voice
515   맛없다         not delicious                      555   목요일         Thursday
516   맛있다         delicious                          556   목욕          bath, bathing
517   맞다          right, fit, correct                557   목욕하다        take a bath
518   맞습니다        That's right.                      558   목적          purpose
519   맞아요         That's right.                      559   몸           body
520   맞은편         across, the other side, opposite   560   몸살          sickness, disease that comes from fatigue
                            TOPIK I Vocabulary（Beginner）


No.          한글                English      No.          한글                English
561   못하다         ~ can not do              601   바뀌다         be changed
562   몽골          Mongolia                  602   바나나         banana
563   무           radish                    603   바다          sea
564   무겁다         heavy                     604   바닷가         beach
565   무궁화         rose of sharon            605   바라다         hope
566   무료          free                      606   바람          wind
567   무릎          knee                      607   바로          immediately, soon, just
568   무리          swarm, unreasonable       608   바르다         right, paint, wear
569   무섭다         scary                     609   바쁘다         busy
570   무슨          what                      610   바이올린        violin
571   무엇          what                      611   바지          pants
572   무엇이         what                      612   박물관         museum
573   무역          trade                     613   박수          clap, applause
574   무용          dance                     614   밖           out, outside
575   무척          very                      615   반           half, group
576   문           door, gate                616   반갑다         nice to meet, happy
577   문구점         stationery store          617   반갑습니다       Nice to meet you.
578   문장          sentence                  618   반년          half a year
579   문제          problem                   619   반달          half-moon
580   문화          culture                   620   반바지         shorts
581   묻다          ask                       621   반지          ring
582   물           water                     622   반찬          side dish
583   물건          stuff, thing              623   받다          receive
584   물론          sure, of course           624   발           foot, leg
585   물어보다        ask                       625   발가락         toe(s)
586   뭐           what                      626   발음          pronunciation
587   미국          The United States         627   발전          development
588   미래          future                    628   발표          announcement, presentation
589   미리          in advance, beforehand    629   밝다          bright
590   미술          art                       630   밤           night
591   미술관         art gallery, art museum   631   밥           rice, meal
592   미안하다        sorry                     632   방           room
593   미안합니다       I'm sorry.                633   방법          way, method
594   미용실         beauty salon              634   방송          broadcast
595   미터          meter                     635   방송국         broadcast stations
596   민속촌         folk village              636   방학          vacation
597   밀가루         flour                     637   배           ship, stomach, pear
598   밀리다         be shaved, be pushed      638   배고프다        hungry
599   밑           bottom, below             639   배구          volleyball
600   바꾸다         change                    640   배달          delivery
                            TOPIK I Vocabulary（Beginner）


No.          한글                English            No.          한글                     English
641   배부르다        be full (I am full.)            681   부부          couple, husband and wife, married couple

642   배우          actor                           682   부산          Busan
643   배우다         learn                           683   부업          sideline
644   배탈          stomachache                     684   부엌          kitchen
645   백           100                             685   부인          wife, Mrs.
646   백화점         department store                686   부장          director
647   버리다         abandon, throw away             687   부지런하다       diligent
648   버스          bus                             688   부치다         send, fry, transmit
649   번           ~ time(s)                       689   부탁          request, please
650   번호          number                          690   부탁하다        beg, ask
651   벌다          earn, make money                691   북쪽          North
652   벌써          already                         692   분           ~ person(s), ~ minute(s)
653   벗다          take off (clothes, shoes)       693   분위기         #N/A
654   벚꽃          cherry blossom                  694   불           fire, electrical light
655   베이징         Beijing                         695   불고기         Bulgogi, grilled meat
656   베트남         Vietnam                         696   불다          blow (wind or whistle, musical instruments, etc.)


657   벽           wall                            697   불편하다        uncomfortable, inconvenient
658   변호사         lawyer                          698   붓다          pour
659   별           star                            699   붙다          stick, pass a test
660   별로          not really                      700   붙이다         attach, stick
661   병           illness, ~ bottle(s)            701   브라질         Brazil
662   병원          hospital                        702   블라우스        blouse
663   보내다         send, spend                     703   비           rain
664   보다          see                             704   비누          soap
665   보도          sidewalk, report                705   비디오         video
666   보이다         show, look                      706   비밀          secret
667   보통          usually, normally, in general   707   비빔밥         Bibimbap, mixed rice
668   복숭아         peach                           708   비슷하다        similar, like
669   복잡하다        complicated, crowded            709   비싸다         expensive
670   볶다          fry                             710   비행기         airplane
671   볶음밥         fried rice                      711   비행장         airfield, airport
672   볼펜          ballpoint pen                   712   빌딩          building
673   봄           spring                          713   빌리다         borrow, lend
674   봉지          bag                             714   빠르다         fast
675   봉투          envelope                        715   빨간색         red color
676   뵙다          meet                            716   빨갛다         red
677   부동산         real estate                     717   빨다          suck, do laundry
678   부드럽다        soft, friendly                  718   빨래          laundry, wash
679   부르다         call, sing                      719   빨리          quickly
680   부모          parents                         720   빵           bread
                           TOPIK I Vocabulary（Beginner）


No.          한글                English                   No.          한글               English
721   빵집          bakery                                 761   삼촌          paternal uncle
722   빼다          remove, pull, pull out                 762   상관          relation
723   뿐           only                                   763   상자          box
724   사           4                                      764   상처          wound, scratch
725   사거리         intersection, four corners             765   상품          product
726   사계절         four seasons                           766   새           bird, new
727   사고          accident                               767   새로          newly
728   사과          apple                                  768   새벽          dawn, late at night, early morning
729   사다          buy                                    769   새우          shrimp
730   사람          person, man                            770   색           color
731   사랑          love                                   771   색깔          color
732   사랑하다        love                                   772   샌드위치        sandwich
733   사례          case, example                          773   생각          thinking, thought
734   사무실         office                                 774   생각되다        be considered, it seems~
735   사물          object, thing                          775   생각하다        think
736   사십          40                                     776   생기다         form, arise
737   사업가         entrepreneur, businessman              777   생선          fish
738   사용하다        use                                    778   생신          birthday (honorific form)
739   사원          temple, employee                       779   생일          birthday
740   사월          April                                  780   생활          life
741   사이          between, while                         781   샤워하다        take a shower
742   사이다         cider                                  782   샴푸          shampoo
743   사이즈         size                                   783   서다          stand
744   사인하다        sign                                   784   서로          each other, both
745   사장          CEO, the president                     785   서류          document
746   사전          dictionary                             786   서른          30
747   사진          picture, photo                         787   서비스         service
748   사진기         camera                                 788   서양          western, west
749   사촌          cousin                                 789   서울          Seoul
750   사탕          candy                                  790   서울역         Seoul station
751   사흘          3 days                                 791   서점          bookstore
752   산           mountain                               792   서쪽          west, western
753   산책          walk                                   793   선물          gift, present
754   살           flesh, ~ year(s) old                   794   선배          elder, senior
755   살다          live                                   795   선생님         teacher
756   삼           3                                      796   선수          player
757   삼거리         intersection, three-way intersection   797   선택하다        choose, select
758   삼계탕         Samgyetang                             798   선풍기         fan
759   삼십          30                                     799   설거지         washing dishes, dish-washing
760   삼월          March                                  800   설날          Lunar New Year
                           TOPIK I Vocabulary（Beginner）


No.          한글                  English     No.          한글                 English
801   설렁탕         Seolleongtang              841   수도          capital, water supply
802   설명          explanation, description   842   수돗물         tap water
803   설명하다        explain                    843   수박          watermelon
804   설악산         Mt. Seorak                 844   수술하다        operate on for
805   설탕          sugar                      845   수업          class, lesson
806   섬           island                     846   수영          swimming
807   성           castle, last name          847   수영복         swimsuit
808   성격          personality                848   수영장         swimming pool
809   성함          name                       849   수요일         Wednesday
810   세계          world                      850   수저          chopsticks and a spoon
811   세수하다        wash                       851   수첩          note, notebook
812   세우다         set up, formulate          852   수학          mathematics
813   세일하다        have a sale                853   숙제          homework
814   세탁기         washing machine            854   순서          order, turn
815   세탁소         dry cleaners, laundromat   855   숟가락         spoon
816   센터          center                     856   술           alcohol, liquor
817   센티미터        centimeter                 857   쉬다          rest
818   셋           3                          858   쉰           50
819   셋째          third                      859   쉽다          easy
820   소           small, cow                 860   슈퍼마켓        supermarket
821   소개          introduction               861   스물          20
822   소개하다        introduce                  862   스웨터         sweater
823   소고기         beef                       863   스케이트        skate
824   소금          salt                       864   스키          ski, skiing
825   소리          sound, voice               865   스키장         ski resort
826   소설          novel                      866   스타          star
827   소설가         novelist                   867   스타킹         stockings
828   소식          news                       868   스트레스        stress
829   소파          sofa                       869   스페인어        Spanish
830   소포          parcel                     870   스포츠         sport
831   소풍          picnic, trip               871   슬퍼하다        sorrow, mourn
832   소화제         peptic, digestive          872   슬프다         sad
833   속           inside                     873   습관          habit
834   손           hand                       874   시           city, time
835   손가락         finger                     875   시간          time
836   손님          customer                   876   시간표         schedule, timetable
837   손수건         handkerchief               877   시계          clock
838   송이          bunch, flower, cluster     878   시골          countryside
839   쇼핑          shopping                   879   시끄럽다        noisy
840   수건          towel, washcloth           880   시내          downtown, city, stream
                             TOPIK I Vocabulary（Beginner）


No.          한글                English      No.          한글                English
881   시다          sour                      921   쓰기          writing, dictation
882   시디          CD                        922   쓰다          write, use, wear (glasses)
883   시민          citizen                   923   쓰레기         garbage
884   시설          facility                  924   쓰이다         be written, be used
885   시외          suburbs                   925   씨           seed, Mr. ~
886   시원하다        cool, refresh             926   씩           each, every, per
887   시월          October                   927   씹다          chew, bite
888   시작          start                     928   씻다          wash
889   시작되다        begin                     929   아가씨         Miss, daughter
890   시작하다        start, begin              930   아기          baby, toddler
891   시장          market                    931   아까          earlier, while ago
892   시청          city hall                 932   아내          wife
893   시키다         make someone do, order    933   아뇨          no
894   시험          exam, test                934   아니다         no
